./simulation.exe 60 10 && ./simulation.exe 60 20 && ./simulation.exe 60 50 && ./simulation.exe 60 100 && ./simulation.exe 60 200 && ./simulation.exe 60 300 && ./simulation.exe 60 400
 && ./simulation.exe 60 500 && ./simulation.exe 60 600 && ./simulation.exe 60 700 && ./simulation.exe 60 800 && ./simulation.exe 60 900 && ./simulation.exe 60 1000

world size = -50 to 50
Parallel with CollisionOctree + BarnesHut:
blocks : FPS
10     : 522.241
20     : 292.554
50     : 54.8826
100    : 46.9432
200    : 20.9013
300    : 12.5637
400    : 8.64649
500    : 6.5113
600    : 5.33784
700    : 4.43474
800    : 3.7724
900    : 3.25383
1000   : 2.90142


Parallel without CollisionOctree:
10     : 675.111
20     : 310.896
50     : 103.499
100    : 36.2616
200    : 11.7052
300    : 6.21624
400    : 3.89157
500    : 2.6455
600    : 1.92289
700    : 1.3763
800    : 1.1579
900    : 0.947062
1000   : 0.780627


Parallel without Barnes Hut:
10     : 565.238
20     : 337.911
50     : 123.692
100    : 43.7448
200    : 13.618
300    : 6.52445
400    : 3.77965
500    : 2.39979
600    : 1.73711
700    : 1.27256
800    : 0.975689
900    : 0.797396
1000   : 0.638825


Serial + CollisionOctree + barnesHut:
blocks : FPS
10     : 884.121
20     : 300.518
50     : 68.5214
100    : 24.5888
200    : 9.11283
300    : 5.27897
400    : 3.56948
500    : 2.67278
600    : 2.12011
700    : 1.75013
800    : 1.47408
900    : 1.31109
1000   : 1.14769

Serial without CollisionOctree
10     : 865.49
20     : 257.92
50     : 51.6865
100    : 15.947
200    : 4.90009
300    : 2.39412
400    : 1.42916
500    : 0.947062
600    : 0.710904
700    : 0.541738
800    : 0.430478
900    : 0.351746
1000   : 0.288943

Serial without Barnes Hut:
10     : 1314.29
20     : 420.169
50     : 78.8983
100    : 20.5944
200    : 5.29399
300    : 2.42147
400    : 1.36014
500    : 0.880124
600    : 0.615136
700    : 0.455145
800    : 0.349079
900    : 0.274616
